[20:12:34] GPU 运行库目录: ['C:\\Users\\94300\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\nvidia\\cublas\\bin', 'C:\\Users\\94300\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\nvidia\\cuda_nvrtc\\bin', 'C:\\Users\\94300\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\nvidia\\cuda_runtime\\bin', 'C:\\Users\\94300\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\nvidia\\cudnn\\bin']
[20:12:34] 扫描文件夹: F:\Project\Life
[20:12:34] 共发现 499 个音视频文件
[20:12:34] 首次运行会下载模型，请耐心等待……
[20:12:40] 实际使用：模型 small  设备 cuda (float16)
[20:12:40] [1/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\1.两x底层逻辑，吸引力的内核_.mp4
[20:13:15]     完成（用时 35s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\1.两x底层逻辑，吸引力的内核_.txt
[20:13:15] [2/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\10.评估_.mp4
[20:14:09]     完成（用时 54s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\10.评估_.txt
[20:14:09] [3/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\11.废物测试_.mp4
[20:14:32]     完成（用时 23s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\11.废物测试_.txt
[20:14:32] [4/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\12.叙事_.mov
[20:14:55]     完成（用时 23s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\12.叙事_.txt
[20:14:55] [5/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\13.收尾.mov
[20:15:26]     完成（用时 31s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\13.收尾.txt
[20:15:26] [6/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\14.开场白_.mov
[20:15:51]     完成（用时 25s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\14.开场白_.txt
[20:15:51] [7/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\15.前提_.mov
[20:16:36]     完成（用时 45s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\15.前提_.txt
[20:16:36] [8/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\16.如何让女生倒追你_.mov
[20:17:10]     完成（用时 34s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\16.如何让女生倒追你_.txt
[20:17:10] [9/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\17.约会基本流程_.mov
[20:17:33]     完成（用时 22s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\17.约会基本流程_.txt
[20:17:33] [10/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\2.打造让女人爱上你的人设_.mp4
[20:18:17]     完成（用时 44s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\2.打造让女人爱上你的人设_.txt
[20:18:17] [11/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\3.内核建设，打开吸引开关_.mp4
[20:18:46]     完成（用时 29s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\3.内核建设，打开吸引开关_.txt
[20:18:46] [12/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\4.搭讪焦虑破解之道_.mp4
[20:19:16]     完成（用时 30s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\4.搭讪焦虑破解之道_.txt
[20:19:16] [13/499] 转录中: 找老婆教程\《Leon撩妹3.0，手把手教你泡妞\5.实战前的规划_.mov
[20:19:35]     完成（用时 19s）-> 转录文本\找老婆教程\《Leon撩妹3.0，手把手教你泡妞\5.实战前的规划_.txt
[20:27:23] [28/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\10.三步走进她的心，成为最懂她的人.mp3
[20:28:07]     完成（用时 45s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\10.三步走进她的心，成为最懂她的人.txt
[20:28:07] [29/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\100.送她礼物之前必学的撩妹套路。.mp3
[20:28:29]     完成（用时 22s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\100.送她礼物之前必学的撩妹套路。.txt
[20:28:29] [30/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\101.解决尬聊的救命稻草。.mp3
[20:28:55]     完成（用时 25s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\101.解决尬聊的救命稻草。.txt
[20:28:55] [31/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\102.九个吸引的核心因素.mp3
[20:29:23]     完成（用时 29s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\102.九个吸引的核心因素.txt
[20:29:23] [32/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\103.在欢乐的日子里这样认识女生..mp3
[20:29:44]     完成（用时 21s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\103.在欢乐的日子里这样认识女生..txt
[20:29:44] [33/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\104.开启聊天要选择合适的能量.mp3
[20:30:07]     完成（用时 22s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\104.开启聊天要选择合适的能量.txt
[20:30:07] [34/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\105.这样的身体语言更容易擦到她.mp3
[20:30:27]     完成（用时 21s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\105.这样的身体语言更容易擦到她.txt
[20:30:27] [35/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\106.吸引她只需要半个小时.mp3
[20:30:49]     完成（用时 21s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\106.吸引她只需要半个小时.txt
[20:30:49] [36/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\107.跟女生交往过程中如何降低需.mp3
[20:31:11]     完成（用时 23s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\107.跟女生交往过程中如何降低需.txt
[20:31:11] [37/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\108.快速吸引她的三步法则.mp3
[20:31:34]     完成（用时 23s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\108.快速吸引她的三步法则.txt
[20:31:34] [38/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\109.不用表白，你也可以拥有她！.mp3
[20:31:55]     完成（用时 21s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\109.不用表白，你也可以拥有她！.txt
[20:31:55] [39/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\11.巧妙利用社交圈吸引妹子的套路.mp3
[20:32:28]     完成（用时 33s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\11.巧妙利用社交圈吸引妹子的套路.txt
[20:32:28] [40/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\110.找到正确的感觉，你也可以聊.mp3
[20:33:16]     完成（用时 48s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\110.找到正确的感觉，你也可以聊.txt
[20:33:16] [41/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\111.表白死必听！理性挽回才能反.mp3
[20:33:57]     完成（用时 41s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\111.表白死必听！理性挽回才能反.txt
[20:33:57] [42/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\112.吸引力深度解析.mp3
[20:34:35]     完成（用时 38s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\112.吸引力深度解析.txt
[20:34:35] [43/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\113.让你的相亲事半功倍的技巧.mp3
[20:35:05]     完成（用时 30s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\113.让你的相亲事半功倍的技巧.txt
[20:35:05] [44/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\114.周未约妹子之前必学的聊天技巧.mp3
[20:35:37]     完成（用时 32s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\114.周未约妹子之前必学的聊天技巧.txt
[20:35:37] [45/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\115.周未约妹子之前必学的约会技.mp3
[20:36:06]     完成（用时 29s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\115.周未约妹子之前必学的约会技.txt
[20:36:06] [46/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\116.约女生的时候要注意的细节..mp3
[20:36:41]     完成（用时 34s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\116.约女生的时候要注意的细节..txt
[20:36:41] [47/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\117.这么聊天才能让她喜欢上你ISSWA.mp3
[20:37:10]     完成（用时 29s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\117.这么聊天才能让她喜欢上你ISSWA.txt
[20:37:10] [48/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\118.被女生拒绝之后如何拯救你的爱情？.mp3
[20:37:42]     完成（用时 32s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\118.被女生拒绝之后如何拯救你的爱情？.txt
[20:37:42] [49/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\119.调动起女生情绪的聊天才是好的聊天.mp3
[20:38:16]     完成（用时 34s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\119.调动起女生情绪的聊天才是好的聊天.txt
[20:38:16] [50/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\12.星座谁都懂，但只有这样才能把妹子聊嗨.mp3
[20:38:47]     完成（用时 32s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\12.星座谁都懂，但只有这样才能把妹子聊嗨.txt
[20:38:47] [51/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\120.那些容易吸引女生兴趣的聊天套路.mp3
[20:39:30]     完成（用时 42s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\120.那些容易吸引女生兴趣的聊天套路.txt
[20:39:30] [52/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\121.不善言谈的人该如何打开ta的心.mp3
[20:39:59]     完成（用时 29s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\121.不善言谈的人该如何打开ta的心.txt
[20:39:59] [53/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\122.激情过后，拿什么来守护爱情。.mp3
[20:40:39]     完成（用时 40s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\122.激情过后，拿什么来守护爱情。.txt
[20:40:39] [54/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\123.成为备胎的你，该如何重新获得主动权.mp3
[20:41:25]     完成（用时 46s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\123.成为备胎的你，该如何重新获得主动权.txt
[20:41:25] [55/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\124.挽回过程中的注意事项.mp3
[20:42:10]     完成（用时 45s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\124.挽回过程中的注意事项.txt
[20:42:10] [56/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\125.确定关系后，如何让情感实现飞跃？.mp3
[20:42:33]     完成（用时 22s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\125.确定关系后，如何让情感实现飞跃？.txt
[20:42:33] [57/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\126.这么在朋友圈里跟妹子互动才能吸引她.mp3
[20:43:07]     完成（用时 34s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\126.这么在朋友圈里跟妹子互动才能吸引她.txt
[20:43:07] [58/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\127.影响女生对你印象的关键细节——袜子的搭配学问.mp3
[20:43:43]     完成（用时 36s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\127.影响女生对你印象的关键细节——袜子的搭配学问.txt
[20:43:43] [59/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\128高情商男人是这样化解冷场的.mp3
[20:43:57]     完成（用时 14s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\128高情商男人是这样化解冷场的.txt
[20:43:58] [60/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\129.如何高逼格地开始羞羞的话题.mp3
[20:44:14]     完成（用时 17s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\129.如何高逼格地开始羞羞的话题.txt
[20:44:14] [61/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\13.星座的套路深几许？别急我来告诉你.mp3
[20:44:44]     完成（用时 30s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\13.星座的套路深几许？别急我来告诉你.txt
[20:44:44] [62/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\130.邀约，到底是提前好还是临时好？.mp3
[20:45:07]     完成（用时 23s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\130.邀约，到底是提前好还是临时好？.txt
[20:45:07] [63/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\131.这样说话的男人才迷人.mp3
[20:45:21]     完成（用时 14s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\131.这样说话的男人才迷人.txt
[20:45:21] [64/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\132.拯救备胎的绝招：释放你的性张力.mp3
[20:45:53]     完成（用时 32s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\132.拯救备胎的绝招：释放你的性张力.txt
[20:45:53] [65/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\133.如何引导女生对你进行投资.mp3
[20:46:17]     完成（用时 24s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\133.如何引导女生对你进行投资.txt
[20:46:17] [66/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\134.成熟男人受女生喜欢，只因为.mp3
[20:46:26]     完成（用时 10s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\134.成熟男人受女生喜欢，只因为.txt
[20:46:26] [67/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\135.男生必须走出的跟女生相处的.mp3
[20:46:37]     完成（用时 11s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\135.男生必须走出的跟女生相处的.txt
[20:46:37] [68/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\136.她喜不喜欢你，看她如何应对这种情况.mp3
[20:47:01]     完成（用时 24s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\136.她喜不喜欢你，看她如何应对这种情况.txt
[20:47:01] [69/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\137.除了外形，这样提升个人魅力才是关键.mp3
[20:47:22]     完成（用时 21s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\137.除了外形，这样提升个人魅力才是关键.txt
[20:47:22] [70/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\138.约会成功率提升，靠的是这招(1).mp3
[20:47:36]     完成（用时 14s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\138.约会成功率提升，靠的是这招(1).txt
[20:47:36] [71/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\138.约会成功率提升，靠的是这招.mp3
[20:47:46]     完成（用时 10s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\138.约会成功率提升，靠的是这招.txt
[20:47:46] [72/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\139.如何让用俗的对话变得有趣.mp3
[20:47:54]     完成（用时 8s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\139.如何让用俗的对话变得有趣.txt
[20:47:54] [73/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\14.超级实用的初次聊天模板.mp3
[20:48:16]     完成（用时 22s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\14.超级实用的初次聊天模板.txt
[20:48:16] [74/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\140.记住这个字，让你的聊天受益无穷.mp3
[20:48:27]     完成（用时 11s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\140.记住这个字，让你的聊天受益无穷.txt
[20:48:27] [75/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\141.学会这招，再也不担心约会冷场尬.mp3
[20:48:35]     完成（用时 8s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\141.学会这招，再也不担心约会冷场尬.txt
[20:48:35] [76/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\142.聪明男人才懂得的聊天策略.mp3
[20:48:47]     完成（用时 12s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\142.聪明男人才懂得的聊天策略.txt
[20:48:47] [77/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\143.如何成为女神眼中特别的你.mp3
[20:49:03]     完成（用时 16s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\143.如何成为女神眼中特别的你.txt
[20:49:03] [78/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\144.做到这六点，你就是真男人.mp3
[20:49:19]     完成（用时 16s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\144.做到这六点，你就是真男人.txt
[20:49:19] [79/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\145.神预测！今年最火的撩妹套路竟然是这个.mp3
[20:49:29]     完成（用时 10s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\145.神预测！今年最火的撩妹套路竟然是这个.txt
[20:49:29] [80/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\146.想要聊出感觉？用这招就对了.mp3
[20:49:44]     完成（用时 15s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\146.想要聊出感觉？用这招就对了.txt
[20:49:44] [81/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\147.和女生进行有效沟通的秘诀.mp3
[20:49:56]     完成（用时 12s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\147.和女生进行有效沟通的秘诀.txt
[20:49:56] [82/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\148.所谓的套路，不过就是懂得表达.mp3
[20:50:07]     完成（用时 11s）-> 转录文本\找老婆教程\已下载安小妖聊天课程 260节聊天课\148.所谓的套路，不过就是懂得表达.txt
[20:50:07] [83/499] 转录中: 找老婆教程\已下载安小妖聊天课程 260节聊天课\149.经常说这句话的男人都有女朋友了.mp3
